GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
1viEgnkOT4Uf9X2$BPTnUd,IfcCovering,waterslag,,,79B0EAB1-B987-447A-9261-0BF2D97717A7,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
1yOZPHwsD7C9MCrKl$90iA,IfcCovering,waterslag,,,7C623651-EB63-4730-958C-D54BFF240B0A,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
0Kvw2yChTBXuQ4cILhgS7P,IfcCovering,zinkwerk,,,14E7A0BC-32B7-4B87-8684-99256BA9C1D9,IFC_zinken_afdekker_dakrand_laagbouw 97 x 40,01 eerste verdieping,False
07cuRabSn7ofP$cYt02X4i,IfcCovering,zinkwerk,,,079B86E4-95CC-47CA-967F-9A2DC00A112C,IFC_zinken_afdekker_dakrand_laagbouw 97 x 40,01 eerste verdieping,False
1QAOzVcfjCIgepdR9u6YaR,IfcCovering,zinkwerk,,,5A298F5F-9A9B-4C4A-AA33-9DB2781A291B,IFC_zinken_afdekker_dakrand_laagbouw 97 x 40,01 eerste verdieping,False
1fdeSVh5D5i8W2EHiVl1zX,IfcCovering,zinkwerk,,,699E871F-AC53-45B0-8802-391B1FBC1F61,04 Zink,01 eerste verdieping,True
0qpBWaAanEoR5V$fq4r3RS,IfcCovering,zinkwerk,,,34CCB824-2A4C-4EC9-B15F-FE9D04D436DC,IFC_zinken_afdekker_dakrand_laagbouw 97 x 40,01 eerste verdieping,False
2ojoT3QkX9_xyO2CmkhazA,IfcCovering,zinkwerk,,,B2B72743-6AE8-49FB-BF18-08CC2EAE4F4A,IFC_zinken_afdekker_dakrand_laagbouw 97 x 40,01 eerste verdieping,False
0kBoEfgQzCZwcAITqZnDkN,IfcCovering,zinkwerk,,,2E2F23A9-A9AF-4C8F-A98A-49DD23C4DB97,IFC_zinken_afdekker_dakrand_laagbouw 97 x 40,01 eerste verdieping,False
3noobKcgb4T8IB_hcID3EE,IfcCovering,zinkwerk,,,F1CB2954-9AA9-4474-848B-FAB99234338E,04 Zink,01 eerste verdieping,True
1AGXqM6FXE$PKWFpHb0tD1,IfcCovering,zinkwerk,,,4A421D16-18F8-4EFD-9520-3F3465037341,IFC_zinken_afdekker_dakrand_laagbouw 97 x 40,01 eerste verdieping,False
1q7DPgykr9lATuR9kfU1JJ,IfcCovering,zinkwerk,,,741CD66A-F2ED-49BC-A778-6C9BA97814D3,IFC_zinken_afdekker_dakrand_laagbouw 97 x 40,01 eerste verdieping,False
378PhhaAzBouh7u_VJLngX,IfcCovering,gevelisolatie,,,C7219AEB-90AF-4BCB-8AC7-E3E7D3571AA1,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
3a6hoiwS5ALQTYbFhAtpMx,IfcCovering,muurafdekker,,,E41ABCAC-E9C1-4A55-A762-94FACADF35BB,IFC_Roval_muurafdekker_type_H1 350 x 60,01 eerste verdieping,False
0Aoj1Fkgn3UATZpBNlMNaf,IfcCovering,muurafdekker,,,0ACAD04F-BAAC-4378-A763-CCB5EF597929,IFC_Roval_muurafdekker_type_H1 350 x 60,01 eerste verdieping,False
0NegscEpLBHfCO0cOvWvWD,IfcCovering,muurafdekker,,,17A2ADA6-3B35-4B46-9318-02663983980D,IFC_Roval_muurafdekker_type_H1 350 x 60,01 eerste verdieping,False
23IDpa5hfBCAToeuOPibhu,IfcCovering,muurafdekker,,,8348DCE4-16BA-4B30-A772-A38619B25AF8,IFC_Roval_muurafdekker_type_H1 350 x 60,01 eerste verdieping,False
11SSFTmvfAsh7uffkbAkHw,IfcCovering,muurafdekker,,,4171C3DD-C39A-4ADA-B1F8-A69BA52AE47A,IFC_Roval_muurafdekker_type_H1 350 x 60,01 eerste verdieping,False
27WrhAYm1BZPvD28dvpS7$,IfcCovering,dakschroot,,,87835ACA-8B00-4B8D-9E4D-0889F9CDC1FF,01 Hout C,01 eerste verdieping,True
17Dgk40i12N8tiiHUeJJu1,IfcCovering,zinkwerk,,,4736AB84-02C0-425C-8DEC-B117A84D3E01,04 Zink,01 eerste verdieping,True
1iUvAoVVb0tgbRNcb1zrnS,IfcCovering,zinkwerk,,,6C7B92B2-7DF9-40DE-A95B-5E6941F75C5C,04 Zink,01 eerste verdieping,True
2ppzKELLP76xwbcituxbyF,IfcCovering,zinkwerk,,,B3CFD50E-5556-471B-BEA5-9ACDF8EE5F0F,04 Zink,01 eerste verdieping,True
3QIJ7wTIj1OvdDiFbf2t_8,IfcCovering,dak dakkapel,,,DA4931FA-752B-4163-99CD-B0F9690B7F88,IFC_underlayment_dakbeschot_22mm 22,01 eerste verdieping,True
1cjJR6nDTEneUqSEHxNFyL,IfcCovering,zinkwerk,,,66B536C6-C4D7-4EC6-87B4-70E47B5CFF15,04 Zink,01 eerste verdieping,True
1tg2oTaiH5lx9Qucb8BF1x,IfcCovering,vensterbank,,,77A82C9D-92C4-45BF-B25A-E269482CF07B,IFC_Holonite_vensterbank_320x20 320 x 20,01 eerste verdieping,True
01cPWrrSTCXhTovWawdd4n,IfcCovering,vensterbank,,,01999835-D5C7-4C86-B772-E6093A9E7131,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
19$a_prTH9p8qwny211Ufx,IfcCovering,vensterbank,,,49FE4FB3-D5D4-49CC-8D3A-C7C08105EA7B,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
1GYmSY9aPFyP12UItiG3xc,IfcCovering,vensterbank,,,508B0722-2646-4FF1-9042-792DEC403EE6,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
28Nf_b1D181RHLqwPkhWaI,IfcCovering,vensterbank,,,885E9FA5-04D0-4805-B455-D3A66EAE0912,IFC_Holonite_vensterbank_320x20 320 x 20,01 eerste verdieping,True
02F6_Ydh18Dg$NN2Rb$Hbi,IfcCovering,waterslag,,,023C6FA2-9EB0-4836-AFD7-5C26E5FD196C,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
1kRlic98TFdv9F$kYgSv39,IfcCovering,waterslag,,,6E6EFB26-2487-4F9F-924F-FEE8AA7390C9,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
2$3tltG5j5z9H$2McXEj3a,IfcCovering,waterslag,,,BF0F7BF7-405B-45F4-947F-0969A13AD0E4,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
0sl41bnY16bOhIOz6I0T$B,IfcCovering,waterslag,,,36BC4065-C620-4695-8AD2-63D19201DFCB,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
39XgyYfIb9Z8WISMUqxRJX,IfcCovering,waterslag,,,C986AF22-A529-498C-8812-7167B4EDB4E1,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
0aCjKRplbBBuS_FFOHyzjh,IfcCovering,waterslag,,,2432D51B-CEF9-4B2F-873E-3CF611F3DB6B,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
3V94Qk0Wr4Mg8_s6TY6qzx,IfcCovering,waterslag,,,DF2446AE-020D-445A-A23E-D867621B4F7B,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
1w1D$WYLrBP9UKRAKm2oDR,IfcCovering,waterslag,,,7A04DFE0-895D-4B64-9794-6CA5300B235B,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
3sa_sCWEb7z99pQCJldZ5F,IfcCovering,waterslag,,,F693ED8C-80E9-47F4-9273-68C4EF9E314F,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
0OyZ359bDD8R2fHtdcUcRq,IfcCovering,vensterbank,,,18F230C5-2653-4D21-B0A9-4779E67A66F4,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
1bUaPPMoL54u5srhyyfUCi,IfcCovering,vensterbank,,,657A4659-5B25-4513-8176-D6BF3CA5E32C,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
3iJdNB4vzBwOO6RdHCSy3a,IfcCovering,vensterbank,,,EC4E75CB-139F-4BE9-8606-6E744C73C0E4,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
