BuildingGUID,GUID,IfcClass,Nl-sfb,Material,TaskID,Resource,TaskName,TaskStart,TaskFinish,Element on time or not,IfcClass_Clean,PlannedDurationDays,BIM_IfcClass,BIM_ElementName,BIM_Description,BIM_ObjectType,BIM_Tag,BIM_TypeName,BIM_BuildingStorey,BIM_HasGeometry,BIM_IfcClass_Clean,Class_Exact_Match,Class_Relationship,Canonical_IfcClass
2CKEPCy9T9zQMKorZoDrni,0PrLZhp21BWQOt7ZlSIgwv,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#487985),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#487985),,,8328B4C7-BA51-493D-8145-20B794D31936,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,0O0iZ_Nqj89eqfJxywmDAi,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#488223),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#488223),,,187CDEF9-2E5C-4A6E-8F3C-982CF9234B4C,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,0O0iZ_Nqj89eqfJxywmDAi,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#488223),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#488223),,,187CDEF9-2E5C-4A6E-8F3C-982CF9234B4C,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,2Vm432W6D5ov0hm4pAXHgA,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#488461),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#488461),,,3DCD604D-18AF-4CF3-817C-05FF74894BB5,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,2Vm432W6D5ov0hm4pAXHgA,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#488461),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#488461),,,3DCD604D-18AF-4CF3-817C-05FF74894BB5,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1vy5_GoZL7qgmMhK9NRrFS,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#488699),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#488699),,,6F2D06C9-34FA-49A8-8BD8-FBE8140F39BF,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1vy5_GoZL7qgmMhK9NRrFS,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#488699),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#488699),,,6F2D06C9-34FA-49A8-8BD8-FBE8140F39BF,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,333xBd8krAqxuPdcigF0Cj,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#488937),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#488937),,,34DBA777-9239-41C9-9645-1396EB987CA8,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,333xBd8krAqxuPdcigF0Cj,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#488937),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#488937),,,34DBA777-9239-41C9-9645-1396EB987CA8,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3YgskUV0X57fhhG7IRsNHW,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#489085),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#489085),,,CF912005-5878-45BB-90FA-2EE11440BE60,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3YgskUV0X57fhhG7IRsNHW,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#489085),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#489085),,,CF912005-5878-45BB-90FA-2EE11440BE60,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3OZerwuyj5HOFBw_h9ie2C,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#489251),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#489251),,,E7DE567B-B252-46C7-9EC2-CC8016A3E595,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3OZerwuyj5HOFBw_h9ie2C,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#489251),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#489251),,,E7DE567B-B252-46C7-9EC2-CC8016A3E595,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1N2adTPyHFBuHfjb91hRDU,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#489537),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#489537),,,D7E8165F-DD34-4C99-88D6-45A59514DADB,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1N2adTPyHFBuHfjb91hRDU,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#489537),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#489537),,,D7E8165F-DD34-4C99-88D6-45A59514DADB,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1Bk3EE7zf6gQi0i$AY3xdC,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#489775),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#489775),,,6DD23116-F0C0-40B8-A2F3-6529A6DA2666,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1Bk3EE7zf6gQi0i$AY3xdC,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#489775),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#489775),,,6DD23116-F0C0-40B8-A2F3-6529A6DA2666,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,2qrrvag8v7VuqjGEUPFkEH,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#490013),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#490013),,,883AF00F-49EB-4EE6-A609-AE75FB222E20,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,2qrrvag8v7VuqjGEUPFkEH,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#490013),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#490013),,,883AF00F-49EB-4EE6-A609-AE75FB222E20,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3InQzFvLD5uwYZVLO9DwdT,IfcCovering,4110_buitenwandafwerkingen,04 Zink,ST01170,zinkwerk_(#505966),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#505966),,,4736AB84-02C0-425C-8DEC-B117A84D3E01,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3InQzFvLD5uwYZVLO9DwdT,IfcCovering,4110_buitenwandafwerkingen,04 Zink,ST01150,zinkwerk_(#505966),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#505966),,,4736AB84-02C0-425C-8DEC-B117A84D3E01,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,315ShaPLL9thM7SDHWt5Sp,IfcCovering,4110_buitenwandafwerkingen,04 Zink,ST01170,zinkwerk_(#506613),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#506613),,,6C7B92B2-7DF9-40DE-A95B-5E6941F75C5C,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,315ShaPLL9thM7SDHWt5Sp,IfcCovering,4110_buitenwandafwerkingen,04 Zink,ST01150,zinkwerk_(#506613),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#506613),,,6C7B92B2-7DF9-40DE-A95B-5E6941F75C5C,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,0qrLlxlijEwAHF16r8YEDq,IfcCovering,4110_buitenwandafwerkingen,04 Zink,ST01170,zinkwerk_(#507799),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#507799),,,B3CFD50E-5556-471B-BEA5-9ACDF8EE5F0F,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,0qrLlxlijEwAHF16r8YEDq,IfcCovering,4110_buitenwandafwerkingen,04 Zink,ST01150,zinkwerk_(#507799),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#507799),,,B3CFD50E-5556-471B-BEA5-9ACDF8EE5F0F,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,09LYzbb1H8QwPRQ6hEjFXq,IfcCovering,4110_buitenwandafwerkingen,04 Zink,ST01170,zinkwerk_(#508125),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#508125),,,66B536C6-C4D7-4EC6-87B4-70E47B5CFF15,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,09LYzbb1H8QwPRQ6hEjFXq,IfcCovering,4110_buitenwandafwerkingen,04 Zink,ST01150,zinkwerk_(#508125),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#508125),,,66B536C6-C4D7-4EC6-87B4-70E47B5CFF15,,Storey-1,True,covering,True,Exact match,covering
