GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
1zQYOrUqP5TAaFPeCmMGH$,IfcBeam,fund_strook_(#11249),,,3949CBDF-DDD8-4FB6-ACCC-FDB8E8EAB0D3,,Storey-1,True
1UP3VfHvHA_gIZN9WnsRQ9,IfcBeam,fund_opstort_(#3260),,,3003E7C5-B0FF-4024-90D0-F008AD35D75D,,Storey-1,True
0zpQ3hQHb6z9ILCBaxQLE1,IfcBeam,fund_opstort_(#9269),,,96F584D0-3239-4CE2-B0B2-754A2D4E4DBE,,Storey-1,True
3hMx_hmGLC1f_YoPoAVXz7,IfcBeam,fund_opstort_(#10431),,,8FEAB726-46F3-41BE-9099-03EA7B8339CF,,Storey-1,True
1YK0PSziv5GO8pr83weXaP,IfcBeam,fund_opstort_(#7607),,,DED0AB92-EB34-4EE7-8530-02F02EFCC537,,Storey-1,True
2CbRGCrHHAVhOahgXUdmJv,IfcBeam,fund_opstort_(#3946),,,710A97B9-B8D9-45FF-85A7-597FD2C1BA73,,Storey-1,True
0_tiSIYEr4yRRHYXKfPTdj,IfcBeam,liftputwand_(#4416),,,51E41E0F-5917-4C4C-96BF-7A051084C5CB,,Storey-1,True
1Asg_4IIzBJRAZjWOOBoop,IfcBeam,fund_strook_(#10984),,,85B7195B-E184-43F1-B01F-C7B975A443BC,,Storey-1,True
2$8EUcBs16IuI_ajPbP8Lb,IfcBeam,fund_opstort_(#8771),,,00C76B9D-5284-4681-8AA4-D16C3A3C3CF3,,Storey-1,True
2wRDzVfR9EwhluR32nQMBE,IfcBeam,fund_strook_(#13187),,,111A08D4-E96F-42F2-954B-A1C41175A40E,,Storey-1,True
1Auz_7ZqL7AAig2gL0Pvj2,IfcBeam,liftputwand_(#4582),,,ACFA6A2E-2EB2-4AE4-8645-5548BCC9E665,,Storey-1,True
3YUdL1_$rDcfMmTETvlfJD,IfcBeam,fund_opstort_(#7773),,,3158FB52-B9A9-48C5-81F3-375D6395797E,,Storey-1,True
16eOLt9QP0$OsMuPdUbLi8,IfcBeam,fund_opstort_(#7275),,,C7F99012-135B-4C71-91BC-887949C99325,,Storey-1,True
3VWt6e5xX0QQNjKh6N8IFF,IfcBeam,fund_opstort_(#8439),,,985C63A6-5563-40FD-80A3-423ABAE61A67,,Storey-1,True
3J_1it95T5gfMFEztXNCUR,IfcBeam,fund_strook_(#11111),,,8D85BE90-EED9-42AC-A347-3B1913AAB671,,Storey-1,True
1htIOmH4b7Tf006E86T$VI,IfcBeam,fund_strook_(#8937),,,1169A602-FDB7-455F-BB4A-8B4E069DBEDF,,Storey-1,True
02kic5NYL5Y8L2X6WG8k5m,IfcBeam,fund_opstort_(#809),,,85001C77-8252-45C0-858E-4F2134D62C7C,,Storey-1,True
1ei90H7Bb5_fZwEyprK4wB,IfcBeam,fund_strook_(#11634),,,B6E5444C-7697-4C4E-873F-C1FE61CAD9D1,,Storey-1,True
3qqefgPMbCKOfgM2m0OEf4,IfcBeam,fund_strook_(#12640),,,252EB960-3620-420E-82E9-A4C64FEA491E,,Storey-1,True
1hKluOE6bDMhJ0clWE$jN$,IfcBeam,fund_opstort_(#4914),,,5825ED04-D206-4F87-B1C6-29529EB31012,,Storey-1,True
3nmvJwVyTCiucZBALa8U32,IfcBeam,fund_opstort_(#1485),,,6626C8A7-0523-46F8-8727-A4F03EFC1C95,,Storey-1,True
2J6c62A5XD2QcGjShzZgXq,IfcBeam,fund_strook_(#10569),,,D48C1283-0735-4D8E-AE46-059D45495E23,,Storey-1,True
26byCAFGr1I8W5h9B84Q16,IfcBeam,fund_strook_(#10853),,,0C36156C-8154-46FA-8794-40A690A0E849,,Storey-1,True
